DRAFT - Annual Report data for 2011/12.,,,,Usage,,,,,,,,,,,,,,,,,,,,,,,,,Additional Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Yearly Total,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DWP,www.hse.gov.uk,Health & Safety Executive,1039171,1237568,1193388,1069550,1077850,1438524,1533462,1549908,1110927,1529787,1554635,1573277,15908047,1767877,2141164,2077053,1826033,1864028,2505096,2663123,2725309,1859695,2651832,2659215,2733879,"Re Q10 - Our current hosting environment is not compatible with the URL redirection component, but we are nearing the end of an upgrade project expected to complete in July and we will install the component as a matter of urgency when the new environment is live.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,TNA,www.legislation.gov.uk,Legislation.gov.uk,1194128,1353771,1227490,1029157,992382,1335643,1427617,1964832,1059307,1540228,1569212,1941156,16634923,1598868,1800166,1588362,1348983,1305136,1704379,1853797,2586133,1399428,2036718,2051081,2543471,"Costings include the development costs of a new editorial system, for revising legislation, as well as the development and operating costs for the legislation.gov.uk website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DfT,www.dft.gov.uk,Department for Transport,1409343,1610012,1678568,1131922,1046214,1357722,1169883,1842112,1260366,2078327,1399512,1752750,17736731,1896663,2230945,2246115,1494544,1046214,1028532,1565647,1371873,1681606,2078327,2168600,2332998,Costs for the corporate website for 2011-12 include all exective agency websites and stand alone websites using the dft.gov.uk domain -  apart from Highways Agency who have provided a separate return. The cost return for 2011-12 demonstrates a 46% reduction in costs compared to 2010-11.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,HMRC,www.businesslink.gov.uk,Businesslink,1596201,1725834,1588146,1509526,1534060,1750723,1687128,1779723,1293883,1816135,1687983,1816229,19785571,2048175,2194169,2013834,1929882,1957369,2198118,2115099,2238191,1580750,2285828,2132874,2302581,Please note that the total for Unique users is the sum of the yearly unique users for the period. A constraint of Adobe SiteCatalyst 14 is that the yearly unique users are based on calendar year rather than the set time period. Hence this figure has the overlap of the year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DfE,www.education.gov.uk,Department for Education,778807,897879,1006060,1033507,728741,1327238,1008066,1018390,839731,1293345,1083121,1623431,12638316,1131345,1265723,1137138,1218442,862289,1534447,1530405,1580612,1293345,2255138,1733767,1931841,Accessibility and costs - we have completed a number of user testing exercises and a full audit of the site. In the last 12 months there have been major redevelopments as part of the web rationalisation programme with the majority of sites brought under the DfE domain including ALBs. We have completed a full audit of the whole new site and are working towards accrediation later this year.  The magnitude of the project entailed extra costs to meet deadlines ahead of the decommissioning of the ALB and other sites.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,OFSTED,www.ofsted.gov.uk,Ofsted,667789,849190,758489,610516,555522,904352,859725,885697,605859,1071748,997353,1092967,9859207,1044053,1349558,1196805,106666,906591,1462619,1418674,1459056,936936,1760636,1625483,1834329,"We didnÕt include a content accuracy questions within our survey, so I'm using the same figures from the editorial quality question. We also relaunched the Ofsted website in the middle of July 2011 so are using two analytics packages for the figures provided.  Due to the relaunch development and hosting / infrastructure costs are higher than a standard year due to the front loading of work between April and July 2011 in order to prepare for the new site; we expect these costs to reduce in next years submission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DWP,www.dwp.gov.uk,Department for Work and Pensions,,,,,,,,,,,,,0,1369129,1477838,1476593,1411289,1394102,1446800,1509692,1652948,1278875,2028728,1812957,1741699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,FCO,www.fco.gov.uk,Foreign & Commonwealth Office,1003654,1124068,1020568,1021354,1095961,1091894,1226068,1211854,1042715,1301099,1213613,1220688,13573536,1297177,1429099,1289148,1278682,1350274,1349462,1544207,1529131,1259631,1616751,1523099,1513326,"The data we provide relates to the entire FCO web platform, not just to our main departmental site, www.fco.gov.uk. The FCO web platform hosts over 200 websites in 56 languages. These websites include the main FCO website, Arabic and Urdu versions of the",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.dh.gov.uk,Department of Health,0,0,0,0,0,0,0,0,0,0,0,0,0,1109989,1227896,1156882,1079995,1016494,1097683,1314353,1445580,1049020,1497774,1426854,1490125,We cant provide data for unique users as the total number is taken from all DH subsites as well as dh.gov.uk. We can only provide a total for non-staff costs as this is the cost of managed service with our provider.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOJ,www.justice.gov.uk,Ministry of Justice,303909,416453,466246,572291,599997,635718,690783,722198,662162,889625,870994,841704,303913,475118,658459,740339,922657,963358,1007543,1116774,1169859,1034505,1401935,1398000,1487174,"A user survey was carried out on justice.gov.uk but not in this format. Issues raised in the survey were addressed in the Feb 2012 rebuild of the website.The site was XHTML compliant, however we are no longer validating against XHTML since the relaunch in Feb 2012 as the site now includes HTML 5 elements.The costs for strategy/planning and design/build are one time only costs covering the site rebuild on a new open source platform. This reduces overall ongoing costs which are limited to hosting/infrastucture and staffing. Justice.gov.uk is the website for the Ministry of Justice, its agencies and ALBs, providing a presence for some 37 organisations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,TNA,www.nationalarchives.gov.uk,The National Archives,726585,754950,677348,637264,859469,829506,874419,955952,734825,955251,916997,882601,9805167,1002125,1036910,944553,902630,1166157,1128161,1194485,1294279,979349,1303113,1247808,1197599,"The National Archives' website is highly transactional. In-house staff include design, editorial, UX, content creation/production, CMS, application development, technical support and management. Costs include the cost of developing Discovery, our new catalogue, containing 20 million descriptions of public records, and enabling digital copies of millions of documents to be delivered online. Two further websites have also been converged this year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,HO,www.homeoffice.gov.uk,Home Office,139722,487163,544412,571143,543394,590540,691147,719149,540488,845426,784700,893989,7351273,190966,613579,680463,717502,715378,780832,937272,985627,733552,1130693,1011283,1159843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.army.mod.uk,Army,555022,573409,610431,540424,587281,737727,779860,702274,503603,694371,701486,757232,7743120,811363,861595,931917,825786,893491,1091031,1150880,1020972,726988,1039113,1035144,1095285,"1. The user survey was run just after the end of financial year (FY) 2011/12; this was our best effort because of staffing levels.2. Non-staff costs are uniquely high because of the rationalisation of the Army Jobs website into army.mod.uk. This should n",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DfT,www.transportdirect.info,Department for Transport,816193,856127,905195,960225,939876,883496,788674,720165,613217,716647,692203,689285,9581303,1165120,1226632,1299733,1375356,1341787,1292416,1179345,1081451,913507,1076434,1043856,1065853,"The Transport Direct Team in DfT provides the Transport Direct website and also a supports a wider programme of work largely aimed at improving data quality across the travel information community.  Whilst the effect of some of this work is to improve the content provision for the TD website, the work (and associated spend) delivers other benefits.  For example the production of a national cycle database to be used by TD and by local authorities for their own purposes or the production of a national coach database to be used by TD, transport operators and other travel information services such as traveline. The guidance offered in TG128 para 37 and 39 has been interpreted here and these costs excluded from the above figures on that basis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DEFRA,"www.defra.gov.uk and subdomains (including RPA, AHVLA, VMD, UK Co-body) ","Department for Environment, Food and Rural Affairs",388469,448534,533567,524186,536833,552274,599721,623752,517862,689951,661237,796793,6873179,550886,679455,793410,742399,752288,761415,823222,884789,725515,963650,925476,1047026,"We do not currently have the Broken Links URL Redirection Component installed as the Defra website is in a transitional phase, and so we are currently not directing archive traffic to the National Archive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DfT,www.trafficengland.co.uk,Traffic England,,,,,,,,,,,,,0,1033994,931037,973313,980102,1066505,937250,861072,949536,1047100,900108,1140635,883626,Traffic England has passed from one contractor to another during 2011-12 and as a result cost categories cannot be identified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.mod.uk,Ministry of Defence,410324,404405,400104,374910,419604,409696,408729,476696,379642,507543,528568,536923,5257144,694555,711973,720205,677176,708158,682454,669982,786108,631451,804639,810199,856880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.apprenticeships.org.uk (inc. worldskilluk.apprenticeships.org.uk and nationaltrainingawards.apprenticeships.org.uk),Worldskills UK apprentiships,300653,392316,392489,366685,402222,406253,365977,381976,246070,483099,505643,491148,4734531,476423,624152,636432,612623,657529,645116,563999,578540,363275,738839,775393,764820,"This report also includes data for the NAS sub-domains for Apprenticeships.org.uk;worldskillsuk.apprenticeships.org.uknationaltrainingawards.apprenticeships.org.ukPlease note: 11. neither of these sub-domains have XML sitemaps, but the main domain does.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,HMRC,www.uktradeinfo.com,UK Trade info,21495,22989,23289,23209,23246,24858,26674,29035,25754,29116,30120,28312,308097,470753,483975,769136,720026,832074,759424,811720,867917,753987,797940,845184,755706,"These results relate to the uktradeinfo site prior to its re-launch on 28 March 2012, with the exception of the costs figures which reflect the costs of running the old site and new site development combined, hence the perceived increase on 2010/11 figures. These in fact reduce significantly in following years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,HMRC,www.voa.gov.uk/,Valuation Office Agency,263632,182587,160470,219657,241268,242534,275831,239973,178133,307800,275630,312296,2899811,483979,330949,304266,548119,591825,597301,628662,589237,431067,659231,603035,719899,6c) The VOA has been unable to identify separately the major proportion of the website related IT costs because these costs form part of the overarching IT contract in which the website-related components are not itemised. It has not been possible to itemise these costs at a reasonable cost to the VOA and the IT costs are therefore excluded in accordance with Cabinet Office Guidance (para 34 of TG128 Measuring Website Costs.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.bis.gov.uk,"Department for Business, Innovation and Skills",385890,417095,406473,401886,605856,581538,645278,663743,515588,630413,438447,449886,6142093,574691,621105,607221,586902,934536,878089,966533,1017080,786732,967706,690465,709802,"Accessibility: the BIS website was audited in January 2012 by independent accessibility specialists. They found a number of accessibility issues, which we are currently working to resolve. The vast majority of the information on the site is accessible to all, but we recognise that there are many pages with issues that could cause inconvenience, and a small number of pages with more serious issues. The HTML is invalidated by a single error repeated across the site (end tag for ""img"" omitted, but OMITTAG NO was specified ), which will be addressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.nextstep.directgov.uk,Nextsteps,189812,324782,346324,336975,349179,449765,432629,420008,289617,585076,549769,520915,4794851,232880,377735,422525,415927,436446,525803,502287,492257,339289,673273,635397,660095,"Please note, this site has now closed and been replaced by the national Careers Service. The 4.7m visitors figure quoted above is a total of the monthly figures, so includes return visitors. 2.9m unique visitors were tracked April-December 2011, which suggests the true number of annual unique visitors is around 4m.   The responses in Q1&2 are based on the Operational team's quarterly survey of 395 users in September 2011. The response figures in Q3 are based on the results of a separate survey of 217 users.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,HMT,www.hm-treasury.gov.uk ,HM Treasury,148671,134385,149750,133797,290185,126470,132233,274506,165433,147128,155180,438068,2295806,213996,200876,237998,206271,356596,193820,197088,393373,247764,223996,232667,600220,"We changed the tool we used for user surveys this year, so some of the figures are interpreted from multiple-choice answers that differ in terminology to those listed above ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.sceschools.com,Service Children's Education,347953,258179,208954,126835,198523,243996,267843,118324,97456,313294,424690,231187,2837234,409685,919673,222896,108345,250341,300863,386934,108354,150863,590671,787566,590470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,Charity Commission,www.charitycommission.gov.uk,Charity Commission,245363,276188,283954,280013,270511,299500,324155,329495,252759,344401,329465,322149,3557953,434277,502715,539899,508466,486777,519732,562004,567817,420804,607258,569974,570149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,UKSA,www.ons.gov.uk/ons/index.html,Office for National Statistics,609328,639079,528168,489625,437867,312960,306213,364679,273367,360784,376173,429697,5127940,774231,810248,665398,618102,551255,414142,421139,498498,364261,486323,492661,568267,Staff costs include £254k of contractor costs. Totals include staff and non-staff costs from NSOnline covering April to August. Service availability (question 9) represents both the NSOnline site and the new ONS site. The figure is lower than normal because of initial teething problems at launch of the new site. The old site was 100% until switch over and the new site has been 100% since mid-September when teething problems had been overcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DfT,www.highways.gov.uk,Highways Agency,437608,384710,392304,486348,557106,416615,413838,491004,535261,463600,600347,650252,5828993,618101,542012,559516,682449,823444,621024,618107,729876,781782,696331,842298,454696,"Please note that although the questionnaire was intended to measure user experience on www.highways.gov.uk only, the survey showed almost 80 percent of respondents were looking for traffic information and many of these commented on negative experiences regarding Traffic England, which has skewed the overall satisfaction ratings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DEFRA,www.forestry.gov.uk,Forestry Commission,330422,329432,323977,306876,317763,269758,322436,278187,279422,318178,277234,329637,3683322,425278,426796,424775,398177,446749,370573,450008,391765,385215,449695,385918,448449,"In line with Government Guidelines we are also testing the website in browsers that have more than 2% of traffic. We recently started testing with iPad, iPhone and Android phone as they now represent over 15% of our traffic. Following the restructuration of our organisation, we postponed major developments of our website. Therefore we did not have any drastic change since our previous user / disabled user testings and accessibility audits. Further testing of a system due to be replaced was deemed to be wasteful. We are now in the middle of major new developments which will affect the infrastructure of our website and testing and audits are part of our project plan.  Regarding accessibility rating we are aiming at WCAG2 AA but given the size and legacy of our website we cannot achieve this throughout.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.royalnavy.mod.uk,Royal Navy,335076,289587,286664,261172,226811,241575,188071,192612,194364,408528,349721,284965,3259146,474247,445805,437827,398401,348477,365024,288368,291589,283230,573140,498655,421218,"The statistics are slightly skewed.  The website from April-September was a temporary solution, and statistics tagging was not complete.  The costs for the website include extensive security testing and accreditation of the new website which was launched on 23 september 2011, and also include additional costs incurred as a result of changing digital agencies at launch.  Costs are for all Corporate, Community and Careers (Recruiting) - including full integration costs and total manpower for site (no additional staff contribute to the website)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.acas.org.uk,"Advisory, Conciliation and Arbitration Service",259961,277416,275348,255454,255496,295971,303074,315813,220361,321163,300533,307768,3388358,345843,370023,366819,337352,341887,395491,401800,421540,287695,426903,394817,405849,Quality: response to the user survey was relatively low (122 completed) so should be noted that some of the lower percentages do not represent very many actual people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.cqc.org.uk,Care Quality Commission ,482196,482196,482196,190264,190264,190264,190264,195892,161625,217705,379167,256414,3418447,441862,441862,441862,441862,441862,441862,441862,323252,254096,349908,379167,402405,CQC launched a new website October 2011. The quality measures relate to the previous website. The standards compliance section relates to the new website. Website usage has been measured using two different stats packages for the old and new website. Figures for Q1&Q2 are based on quarterly figures that have been broken down into average/ month.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DECC,www.decc.gov.uk,Department of Energy and Climate Change,115193,131867,143037,141577,126680,138173,224147,233295,176185,269594,223345,228062,2151155,192974,220453,247558,252266,221029,232725,376217,395697,299381,455988,392177,399346,"DECCÕs return includes costs for running converged microsites managed by third parties on behalf of the Department as part of broader programmes of work. In these instances, however, it has not been possible to de-duplicate usage figures and so they have been excluded from the report. Visits to the DECC domain are therefore higher in reality than published here. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.talktofrank.com,Talk to Frank,151982,193692,193945,172701,156928,201518,259152,335150,299962,312156,405455,298914,2981555,181509,230699,231194,204693,184273,235049,303206,412349,357835,390015,490316,376053,"As noted above the FRANK mobile site launched in December 2011 so site visits and costs include mobile. Staff costs are not included. This is because FRANK workload is shared between 3 departments HO, DH and DfE. No one member of any department works solely on FRANK and therefore FRANK staff costs are not recorded.While we're not currently passing the coding standards test, a small amount of work could address these issue. WeÕve made improvements to  make the site accessible on a practical level.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.mhra.gov.uk,Medicines and Healthcare products Regulatory Agency,149795,169413,166765,157473,167929,166113,179989,195856,167769,214457,202718,209535,2147812,261560,297374,290114,272175,281448,271893,288857,323017,268973,343827,324658,336942,This return covers the Main MHRA website and two sub domains for yellowcard.mhra.gov.uk and pharmacopiea.mhra.gov.uk which were previously separate domains.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.ipo.gov.uk,TheÊIntellectual Property OfficeÊ,92759,121945,113106,108807,116092,116043,125974,129683,98919,133484,128580,134154,1419546,244358,298803,288286,273665,290215,282695,303990,314395,240901,314251,311217,326822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.food.gov.uk,Food Standards Agency,171821,203162,225011,166038,163234,200373,203115,225956,186670,213542,219561,229897,2408380,231065,276989,306374,226697,222254,268217,268750,306265,242045,287472,293993,307108,Redirect tool not installed due to incompatibility with food.gov.uk servers. Redirects are applied manually if pages are moved.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
